species,accession
M. perniciosa,AF335590.1
M. perniciosa,AF490477.1
M. perniciosa,AF490478.1
M. perniciosa,AF490479.1
M. perniciosa,AF490480.1
M. perniciosa,AF490481.1
M. perniciosa,AF490482.1
M. perniciosa,AF490483.1
M. perniciosa,AF490484.1
M. perniciosa,AF490485.1
M. perniciosa,AF490486.1
M. perniciosa,AF490487.1
M. perniciosa,AF490488.1
M. perniciosa,AF490489.1
M. perniciosa,AF490490.1
M. perniciosa,AY176316.1
M. perniciosa,AY216468.1
M. perniciosa,AY216469.1
M. perniciosa,AY216470.1
M. perniciosa,AY216471.1
M. perniciosa,AY216472.1
M. perniciosa,AY317126.1
M. perniciosa,AY317127.1
M. perniciosa,AY317128.1
M. perniciosa,AY317129.1
M. perniciosa,AY317130.1
M. perniciosa,AY317131.1
M. perniciosa,AY317132.1
M. perniciosa,AY317133.1
M. perniciosa,AY317134.1
M. perniciosa,AY317135.1
M. perniciosa,AY317136.1
M. perniciosa,AY753996.1
M. perniciosa,AY916737.1
M. perniciosa,AY916738.1
M. perniciosa,AY916739.1
M. perniciosa,AY916742.1
M. perniciosa,AY916743.1
M. perniciosa,EU047929.1
M. perniciosa,EU047930.1
M. perniciosa,EU047931.1
M. perniciosa,EU047932.1
M. perniciosa,EU047933.1
M. perniciosa,EU047934.1
M. perniciosa,EU047935.1
M. perniciosa,EU047936.1
M. perniciosa,EU861393.1
M. perniciosa,GQ919080.1
M. perniciosa,GQ919081.1
M. perniciosa,GQ919082.1
M. perniciosa,GQ919083.1
M. perniciosa,GQ919084.1
M. perniciosa,GQ919085.1
M. perniciosa,GQ919086.1
M. perniciosa,GQ919087.1
M. perniciosa,GQ919088.1
M. perniciosa,GQ919089.1
M. perniciosa,GQ919090.1
M. perniciosa,GQ919091.1
M. perniciosa,GQ919092.1
M. perniciosa,GQ919093.1
M. perniciosa,GQ919094.1
M. perniciosa,GQ919095.1
M. perniciosa,GQ919096.1
M. perniciosa,GQ919097.1
M. perniciosa,GQ919098.1
M. perniciosa,GQ919099.1
M. perniciosa,GQ919100.1
M. perniciosa,GQ919101.1
M. perniciosa,GQ919102.1
M. perniciosa,GQ919103.1
M. perniciosa,GQ919104.1
M. perniciosa,GQ919105.1
M. perniciosa,GQ919106.1
M. perniciosa,GQ919107.1
M. perniciosa,GQ919108.1
M. perniciosa,GQ919109.1
M. perniciosa,GQ919110.1
M. perniciosa,GQ919111.1
