species,accession,sequence_length,sequence_sha256
M. perniciosa,AF335590.1,1450,98497ef7b08dac1573702600414bdeef843504f983348eb0e48240e1c31ae5f7
M. perniciosa,AF490477.1,600,dc063f2c50ce62906d0017cf1df0d737fabf65fa6f1b3d784d9a529c161bf33f
M. perniciosa,AF490478.1,600,3eecc117d73eceebaed587b89e174b900966e8b3ee06415a8a0fad202a2d792a
M. perniciosa,AF490479.1,600,dbb68a671605c6671c6121c4e736e30b8b05b8a7e24df30b0ab939d01c8f72e1
M. perniciosa,AF490480.1,600,0b649c13888ccfa1355c6c2a6ac7021a21d1024e29db840df82b2ac87f9cae47
M. perniciosa,AF490481.1,600,fa1fabdc0854fe18b99cf7c7348db23a1270ec1183ab71b27741e40634bbd324
M. perniciosa,AF490482.1,600,fdfabb3070d3082aec13813ef8fc7f3ea733ac728f292e895f9ecde22a517cc2
M. perniciosa,AF490483.1,600,bbbca570b8821d6d9cb41cdc8510570fbc667f1f3315d8d51f6cbfcea46c5d01
M. perniciosa,AF490484.1,600,4c7c6cc4bb2b569f0f28c6aaadfc185785fca1cff4f71324a98ba90da0c336f4
M. perniciosa,AF490485.1,600,d8f0219258a950d92df8aeb0fecb64883c4fe166dd2995fb70e0223c0da10705
M. perniciosa,AF490486.1,600,ef60198204ff112609ce59a6d10e61ffdba6e3f248f2d4c2dc7448534d29deab
M. perniciosa,AF490487.1,600,1f20920b9b869801743f984b00ee83c622c97d589a92b1364baf3cc1c6ee4e21
M. perniciosa,AF490488.1,600,7fcffcfdc043135d457ab24e584be5a2444f532c5302461385fc566ac80b5897
M. perniciosa,AF490489.1,600,e40430806cace6a5feb3b62713050449985258f7b21b9fd7aa6b5b47c2f35e7a
M. perniciosa,AF490490.1,600,10e94ae82221091db6b202e5092f773258df4ddb18865fcd16d47f57f12e5d4a
M. perniciosa,AY176316.1,762,2083a9294e10179b04dc3a2a40d7d7d06c2f0e1a68cadea4fdfaac8978d5855c
M. perniciosa,AY216468.1,759,fa91d488a73c2a555ddf991026c0f6e07e819b2bcf567d38dbcf475621c191a6
M. perniciosa,AY216469.1,759,fa91d488a73c2a555ddf991026c0f6e07e819b2bcf567d38dbcf475621c191a6
M. perniciosa,AY216470.1,759,01d3d68717a06e33c876ede76b6cb4f11a54d35a298692b8591a004f859a2c77
M. perniciosa,AY216471.1,763,8a7f3b17b84680e8a115609ba3c654eaaecdfbcb35cde74625009728767bf10e
M. perniciosa,AY216472.1,763,8a7f3b17b84680e8a115609ba3c654eaaecdfbcb35cde74625009728767bf10e
M. perniciosa,AY317126.1,679,7978efeee1deb9f0a02bd50842f6a00c8af9cd066cd78f296cc53b823ec15c6f
M. perniciosa,AY317127.1,679,03255323f27b8c229c7f8699516e3a81fb5347345f9a589a08c226d9e0a38e71
M. perniciosa,AY317128.1,679,6ee80051721d2f5b3f823833d521029255e8e5409e11082fefe634f67148f4cf
M. perniciosa,AY317129.1,679,94d575cfc99b358fec46cc1d459adf3cfd60cec83b2247491d140f810a77941e
